Rk,Team,Conf,W,L,Pct,Conf_W,Conf_L,Conf_Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Indiana,Big Ten (East),2,10,.167,0,9,.000,17.3,33.3,-4.70,8.63,,17,17,
2,Wisconsin,Big Ten (West),9,4,.692,6,3,.667,25.4,16.2,13.87,6.80,,12,12,
3,Nebraska,Big Ten (West),3,9,.250,1,8,.111,27.9,22.7,7.10,6.60,,,,
4,Michigan,Big Ten (East),12,2,.857,9,1,.900,35.8,17.4,19.80,6.23,3,,2,
5,Purdue,Big Ten (West),9,4,.692,6,3,.667,29.1,22.4,10.58,5.81,,,25,
6,Auburn,SEC (West),6,7,.462,3,5,.375,28.3,21.8,6.66,5.73,,,12,
7,Alabama,SEC (West),13,2,.867,8,1,.889,39.9,20.1,19.62,5.69,2,1,1,
8,Georgia,SEC (East),14,1,.933,8,1,.889,38.6,10.2,24.62,5.62,1,5,1,
9,Ohio State,Big Ten (East),11,2,.846,8,1,.889,45.7,22.8,19.53,5.53,6,4,2,
10,Penn State,Big Ten (East),7,6,.538,4,5,.444,25.0,17.3,11.22,5.53,,19,4,
11,LSU,SEC (West),6,7,.462,3,5,.375,26.5,26.6,4.74,5.28,,16,16,
12,Michigan State,Big Ten (East),11,2,.846,7,2,.778,31.8,25.3,14.41,5.26,9,,5,
13,Iowa,Big Ten (West),10,4,.714,7,3,.700,23.4,19.2,9.45,5.10,23,18,2,
14,Texas,Big 12,5,7,.417,3,6,.333,35.3,31.1,5.11,4.86,,21,15,
15,Arkansas,SEC (West),9,4,.692,4,4,.500,30.9,22.9,11.54,4.62,21,,8,
16,Illinois,Big Ten (West),5,7,.417,4,5,.444,20.2,21.9,2.20,4.61,,,,
17,Oklahoma State,Big 12,12,2,.857,8,2,.800,31.1,18.1,14.57,4.42,7,,5,
18,Maryland,Big Ten (East),7,6,.538,3,6,.333,29.3,30.7,3.44,4.36,,,,
19,Navy,American,4,8,.333,3,5,.375,20.1,28.3,-1.53,4.30,,,,
20,Rutgers,Big Ten (East),5,8,.385,2,7,.222,19.7,25.6,-1.32,4.06,,,,
21,Ole Miss,SEC (West),10,3,.769,6,2,.750,33.7,24.7,11.43,4.05,11,,8,
22,West Virginia,Big 12,6,7,.462,4,5,.444,25.2,23.8,1.54,3.85,,,,
23,Notre Dame,Ind,11,2,.846,1,0,1.000,35.2,19.7,16.31,3.85,8,9,5,
24,Stanford,Pac-12 (North),3,9,.250,2,7,.222,20.4,32.4,-5.79,3.72,,,,
25,Northwestern,Big Ten (West),3,9,.250,1,8,.111,16.6,29.0,-5.72,3.70,,,,
26,Georgia Tech,ACC (Coastal),3,9,.250,2,6,.250,24.0,33.5,-1.91,3.68,,,,
27,Texas Christian,Big 12,5,7,.417,3,6,.333,28.7,34.9,-0.45,3.63,,,,
28,Tennessee,SEC (East),7,6,.538,4,4,.500,39.3,29.1,7.97,3.50,,,,
29,Mississippi State,SEC (West),7,6,.538,4,4,.500,29.1,25.9,5.01,3.48,,,,
30,Kansas,Big 12,2,10,.167,1,8,.111,20.8,42.2,-11.12,3.47,,,,
31,South Carolina,SEC (East),7,6,.538,3,5,.375,22.6,24.0,2.08,3.31,,,,
32,Baylor,Big 12,12,2,.857,8,2,.800,31.6,18.3,13.50,3.28,5,,5,
33,Miami (FL),ACC (Coastal),7,5,.583,5,3,.625,34.1,28.4,5.09,3.26,,14,14,
34,Missouri,SEC (East),6,7,.462,3,5,.375,29.1,33.8,0.37,3.22,,,,
35,Iowa State,Big 12,7,6,.538,5,4,.556,31.3,20.5,9.08,3.16,,7,7,
36,Minnesota,Big Ten (West),9,4,.692,6,3,.667,25.5,17.3,10.17,2.94,,,,
37,Tulane,American,2,10,.167,1,7,.125,27.6,34.0,-5.03,2.89,,,,
38,Louisville,ACC (Atlantic),6,7,.462,4,4,.500,31.6,27.3,4.03,2.88,,,,
39,Oklahoma,Big 12,11,2,.846,7,2,.778,39.1,25.8,11.75,2.68,10,2,2,
40,Clemson,ACC (Atlantic),10,3,.769,6,2,.750,26.3,14.8,11.43,2.66,14,3,3,
41,Virginia,ACC (Coastal),6,6,.500,4,4,.500,34.6,31.8,2.24,2.57,,,,
42,Kansas State,Big 12,8,5,.615,4,5,.444,27.5,21.0,9.12,2.43,,,25,
43,Texas Tech,Big 12,7,6,.538,3,6,.333,30.3,30.2,2.57,2.26,,,,
44,Florida State,ACC (Atlantic),5,7,.417,4,4,.500,27.6,26.5,0.64,2.22,,,,
45,North Carolina,ACC (Coastal),6,7,.462,3,5,.375,35.2,32.1,3.77,2.15,,10,10,
46,Florida,SEC (East),6,7,.462,2,6,.250,30.7,26.8,4.37,2.14,,13,10,
47,Boise State,MWC (Mountain),7,5,.583,5,3,.625,29.2,19.0,8.85,2.02,,,,
48,Oregon,Pac-12 (North),10,4,.714,7,3,.700,31.4,27.0,6.22,1.93,22,11,3,
49,USC,Pac-12 (South),4,8,.333,3,6,.333,28.7,31.8,-1.70,1.80,,15,14,
50,Syracuse,ACC (Atlantic),5,7,.417,2,6,.250,24.9,26.3,-0.17,1.74,,,,
51,Colorado,Pac-12 (South),4,8,.333,3,6,.333,18.8,26.7,-6.60,1.65,,,,
52,Utah,Pac-12 (South),10,4,.714,9,1,.900,36.1,22.6,12.26,1.62,12,24,10,
53,South Florida,American,2,10,.167,1,7,.125,23.2,34.7,-8.33,1.59,,,,
54,Arizona,Pac-12 (South),1,11,.083,1,8,.111,17.2,31.4,-12.40,1.44,,,,
55,Vanderbilt,SEC (East),2,10,.167,0,8,.000,15.8,35.8,-12.61,1.30,,,,
56,Texas A&M,SEC (West),8,4,.667,4,4,.500,29.3,15.9,10.77,1.27,,6,5,
57,Wake Forest,ACC (Atlantic),11,3,.786,7,2,.778,41.0,28.9,11.28,0.99,15,,10,
58,Virginia Tech,ACC (Coastal),6,7,.462,4,4,.500,23.7,25.3,-0.33,0.67,,,15,
59,Kentucky,SEC (East),10,3,.769,5,3,.625,32.3,21.7,8.73,0.50,18,,11,
60,North Carolina State,ACC (Atlantic),9,3,.750,6,2,.750,33.1,19.7,10.22,0.39,20,,18,
61,Pitt,ACC (Coastal),11,3,.786,8,1,.889,41.4,23.6,12.32,0.32,13,,13,
62,Nevada-Las Vegas,MWC (West),2,10,.167,2,6,.250,20.8,32.8,-9.02,0.32,,,,
63,BYU,Ind,10,3,.769,0,0,,33.1,24.8,7.29,0.29,19,,10,
64,Cincinnati,American,13,1,.929,9,0,1.000,36.9,16.9,15.34,0.20,4,8,2,
65,Oregon State,Pac-12 (North),7,6,.538,5,4,.556,31.2,25.8,4.16,0.09,,,,
66,Washington State,Pac-12 (North),7,6,.538,6,3,.667,27.8,24.2,3.05,-0.02,,,,
67,UCLA,Pac-12 (South),8,4,.667,6,3,.667,36.5,26.8,7.25,-0.25,,,13,
68,Tulsa,American,7,6,.538,5,3,.625,26.4,26.6,-0.44,-0.29,,,,
69,Arizona State,Pac-12 (South),8,5,.615,6,3,.667,28.4,20.8,6.49,-0.74,,25,18,
70,Duke,ACC (Coastal),3,9,.250,0,8,.000,22.8,39.8,-11.76,-0.76,,,,
71,East Carolina,American,7,5,.583,5,3,.625,29.7,26.3,1.92,-0.83,,,,
72,Washington,Pac-12 (North),4,8,.333,3,6,.333,21.5,22.7,-4.65,-0.90,,20,20,
73,New Mexico,MWC (Mountain),3,9,.250,1,7,.125,12.2,28.4,-14.33,-1.08,,,,
74,Boston College,ACC (Atlantic),6,6,.500,2,6,.250,24.7,22.2,-1.00,-1.50,,,,
75,Rice,CUSA (West),4,8,.333,3,5,.375,21.5,36.2,-10.10,-1.52,,,,
76,Army,Ind,9,4,.692,3,0,1.000,32.8,22.3,5.94,-1.53,,,,
77,Temple,American,3,9,.250,1,7,.125,16.3,37.5,-14.95,-1.61,,,,
78,SMU,American,8,4,.667,4,4,.500,38.4,28.4,6.18,-1.82,,,19,
79,Air Force,MWC (Mountain),10,3,.769,6,2,.750,31.0,19.8,8.70,-1.84,,,,
80,Memphis,American,6,6,.500,3,5,.375,30.1,29.3,-1.36,-1.94,,,,
81,Nevada,MWC (West),8,5,.615,5,3,.625,35.7,26.5,3.47,-1.99,,,,
82,Louisiana-Monroe,Sun Belt (West),4,8,.333,2,6,.250,20.9,33.5,-9.82,-1.99,,,,
83,California,Pac-12 (North),5,7,.417,4,5,.444,23.8,22.3,-1.32,-2.07,,,,
84,UCF,American,9,4,.692,5,3,.625,31.9,24.5,3.07,-2.08,,,,
85,UAB,CUSA (West),9,4,.692,6,2,.750,29.5,23.2,3.98,-2.09,,,,
86,Colorado State,MWC (Mountain),3,9,.250,2,6,.250,23.7,28.3,-6.57,-2.16,,,,
87,Georgia Southern,Sun Belt (East),3,9,.250,2,6,.250,20.3,31.4,-12.01,-2.34,,,,
88,Appalachian State,Sun Belt (East),10,4,.714,7,2,.778,34.5,22.1,7.28,-2.43,,,,
89,San Diego State,MWC (West),12,2,.857,7,2,.778,27.4,19.8,6.38,-2.48,25,,19,
90,Ball State,MAC (West),6,7,.462,4,4,.500,24.1,28.4,-5.56,-2.56,,,,
91,Connecticut,Ind,1,11,.083,0,2,.000,15.6,38.5,-19.18,-2.59,,,,
92,Western Kentucky,CUSA (East),9,5,.643,7,2,.778,44.2,29.4,8.39,-2.61,,,,
93,Western Michigan,MAC (West),8,5,.615,4,4,.500,32.5,28.2,1.08,-2.62,,,,
94,New Mexico State,Ind,2,10,.167,1,0,1.000,22.6,40.4,-16.29,-2.87,,,,
95,Louisiana Tech,CUSA (West),3,9,.250,2,6,.250,28.0,34.0,-9.73,-2.98,,,,
96,Georgia State,Sun Belt (East),8,5,.615,6,2,.750,28.2,27.1,-0.83,-2.98,,,,
97,Northern Illinois,MAC (West),9,5,.643,7,2,.778,32.2,33.7,-1.18,-3.04,,,,
98,Utah State,MWC (Mountain),11,3,.786,7,2,.778,32.6,24.4,5.17,-3.04,24,,24,
99,Marshall,CUSA (East),7,6,.538,5,3,.625,33.0,23.8,2.37,-3.17,,,,
100,San Jose State,MWC (West),5,7,.417,3,5,.375,20.0,26.5,-9.11,-3.19,,,,
101,UTSA,CUSA (West),12,2,.857,8,1,.889,36.9,24.6,5.65,-3.21,,,15,
102,Houston,American,12,2,.857,8,1,.889,35.9,20.4,8.53,-3.26,17,,16,
103,Kent State,MAC (East),7,7,.500,6,3,.667,33.0,36.3,-7.88,-3.45,,,,
104,Liberty,Ind,8,5,.615,1,1,.500,33.6,21.5,3.80,-3.51,,,,
105,Hawaii,MWC (West),6,7,.462,3,5,.375,28.8,31.4,-5.19,-3.58,,,,
106,Fresno State,MWC (West),10,3,.769,6,2,.750,33.4,20.5,4.88,-3.89,,,18,
107,Florida Atlantic,CUSA (East),5,7,.417,3,5,.375,25.4,25.8,-5.74,-3.90,,,,
108,Arkansas State,Sun Belt (West),2,10,.167,1,7,.125,25.3,38.6,-14.30,-3.97,,,,
109,Massachusetts,Ind,1,11,.083,1,3,.250,16.3,43.1,-21.27,-4.02,,,,
110,Troy,Sun Belt (East),5,7,.417,3,5,.375,22.8,26.1,-7.53,-4.03,,,,
111,North Texas,CUSA (West),6,7,.462,5,3,.625,27.5,27.5,-4.51,-4.13,,,,
112,Old Dominion,CUSA (East),6,7,.462,5,3,.625,27.6,27.8,-5.01,-4.39,,,,
113,Akron,MAC (East),2,10,.167,1,7,.125,19.8,39.5,-16.82,-4.41,,,,
114,Miami (OH),MAC (East),7,6,.538,5,3,.625,28.9,23.1,-0.49,-4.42,,,,
115,Wyoming,MWC (Mountain),7,6,.538,2,6,.250,25.4,23.7,-3.14,-4.52,,,,
116,Central Michigan,MAC (West),9,4,.692,6,2,.750,32.3,25.8,1.35,-4.57,,,,
117,Southern Mississippi,CUSA (West),3,9,.250,2,6,.250,17.7,27.9,-13.12,-4.62,,,,
118,Eastern Michigan,MAC (West),7,6,.538,4,4,.500,30.2,30.0,-3.88,-4.80,,,,
119,Louisiana,Sun Belt (West),13,1,.929,9,0,1.000,31.1,18.5,6.32,-4.82,16,23,16,
120,Bowling Green State,MAC (East),4,8,.333,2,6,.250,21.4,30.7,-12.00,-4.83,,,,
121,Florida International,CUSA (East),1,11,.083,0,8,.000,20.3,39.7,-19.86,-4.86,,,,
122,Ohio,MAC (East),3,9,.250,3,5,.375,22.6,30.3,-12.73,-5.48,,,,
123,Middle Tennessee State,CUSA (East),7,6,.538,4,4,.500,29.8,25.7,-3.73,-5.50,,,,
124,Buffalo,MAC (East),4,8,.333,2,6,.250,29.3,29.9,-9.41,-5.58,,,,
125,UTEP,CUSA (West),7,6,.538,4,4,.500,25.1,25.2,-5.30,-5.61,,,,
126,Texas State,Sun Belt (West),4,8,.333,3,5,.375,23.1,33.0,-12.12,-5.70,,,,
127,Charlotte,CUSA (East),5,7,.417,3,5,.375,27.2,34.0,-11.35,-5.93,,,,
128,South Alabama,Sun Belt (West),5,7,.417,2,6,.250,24.9,26.4,-6.56,-6.06,,,,
129,Toledo,MAC (West),7,6,.538,5,3,.625,33.4,21.8,0.28,-6.34,,,,
130,Coastal Carolina,Sun Belt (East),11,2,.846,6,2,.750,40.9,21.6,3.98,-8.94,,22,14,
